,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
5000,fayebradburysacredshamanicsounds,f,51,2022-12-11 22:24:11.780574,name found,Faye Bradbury Sacred Shamanic Sounds,"Bristol City, United Kingdom",31 followers,English and Italiano,Joined in Jul 2020,"Channeled and collaborative sacred shamanic sound sessions with Faye, Sacred Sound and Shamanic Practitioner. Faye channels Ancestors, Galactic, Light Language and Angelics as well as the voices and songs of the Plant Kingdom and the Earth's songs. She is authentic & available for consultations both online and face to face: soul retrievals, extraction work, sound healing, finding & healing your voice, healing, medicine work. She also channels personalised medicine songs, activations and downloads for and with you via live links....read more",https://users.insighttimer.com/H9fa3pwEj3Pa46L0PGg36jJG5No2/pictures/square_medium.jpeg
5001,fern,f,51,2022-12-11 22:24:31.248745,name found,Fern L. Conn,"Delray Beach, FL, USA",30 followers,English,Joined in Jul 2020,"Welcome! May the beauty of this practice uplift you! Fern L. Conn has been in the wellness industry for over 30 years. She is ERYT500 and a Certified Personal Trainer.  Her experience as a Yoga Teacher, Coach, Meditation guide, dancer and Mom allows her to channel energies from a life well lived! Fern owns Dancing Lion Studio - a yoga studio/healing arts center in Delray Beach, Florida. She has studied mediation specifially with great Teachers such as Yogarupa Rod Stryker, Deepak Chopra & more....read more",https://users.insighttimer.com/s1L7d2X0f2F0X0e4d2Q3d6G0K3c9F2L8e0Y3P5U0D7H9B4U8R9j1Y4q3a7j2E2u2h5V2E7B3f8M0L4t8x9b7a1s1D5Z0u7U9W9H5/pictures/square_medium.jpeg
5002,florsilvestre,f,51,2022-12-11 22:24:50.116604,name found,Florencia Silvestre,,29 followers,English,Joined in Jun 2021,"Hi! thanks for being here. I'm a 200 hs certified Yoga teacher and a Mindfulnes meditation instructor. The first time I search for a meditation I was looking to calm my anxiety, stress and overthinking. Meditating allowed me not only to calm and relax my nervous system but also to start identifying my thought patterns and getting clear on what I truly wanted for my life. My intention is to guide you through a journey inwards where you can find peace and purpose within yourself....read more",https://users.insighttimer.com/aPeHfkHG0TNaX2ZPR1fFTFL6YLH2/pictures/square_medium.jpeg
5003,fokkoketel,f,51,2022-12-11 22:25:08.837673,name found,Fokko Ketel,"Amsterdam, NH, Netherlands",27 followers,Nederlands,Joined in Mar 2017,"Core is een instituut voor niet-rationele processen, educatie en managementondersteuning, opgericht in 1992 door Annette Raaijmakers en Fokko Ketel. Al 24 jaar verzorgt Instituut Core vernieuwende, individuele, ervaringsgerichte management trainingen. Deze helpen je om voldoening in de meest fundamentele gebieden van je leven te vergroten én weer hernieuwde passie te vinden voor het realiseren van je ambities en doelen....read more",https://users.insighttimer.com/u1s0a2y7p6N3C7A7J2S9F0Y1u6K8W8K3e9C8d5u4L8M7B4D7B5B2J1P8x8L9V6E3t1Z2H4a4F6w1Z7N5V2G0R1A5u2H6N0q7w3H4/pictures/square_medium.jpeg
5004,flutewave,f,51,2022-12-11 22:25:19.759924,name found,FluteWave,"California, USA",27 followers,,Joined in Apr 2020,FluteWave is a classically-trained musician and composer from Southern California who enjoys creating relaxing music for others.,https://users.insighttimer.com/N4p0F2B2F9W6G8j5r1s1B5n5D2F9u9T1C8f4d9J4C7m1t6Z2q1j2T3M9j3L4L1b5C9D7Y6E3L7A3C0T4f3G2D5p1N8z1F7m8E7g7/pictures/square_medium.jpeg
5005,floatedradio,f,51,2022-12-11 22:25:23.460735,name found,FloatedRadio,"NJ, United States",27 followers,,Joined in Nov 2018,"FloatedRadio is a transmission of soothing ambient works, binaural beats, and tranquility music.",https://users.insighttimer.com/s2v9z6w9J1m5Y9d5W0e5U7W0V4r5w9q6z7s1w9N0t7s8n6Z7Y8a7W3U3e5m9d5v3Z2R6S6n1V0w9X6a2u7L9s9p4Z6P0t1L0q7G1/pictures/square_medium.jpeg
5006,healingsoundz,f,51,2022-12-11 22:25:42.911653,name found,Frank DiCristina,"Minnesota, USA",27 followers,English,Joined in Jun 2022,"Frank, also known as “the Singing Bowl Guy” has been studying, practicing and lecturing on Himalayan Singing bowls since 2002. Frank received his teaching certification in 2010 through Atma Buti School.  Having completed a 12 day Singing bowls program in 2013 through 9Ways Academia, Frank traveled to Nepal to embark on a field studies program to study and experience the singing bowl culture 1st hand. He performs regularly throughout the United States and gives small group and private sessions....read more",https://users.insighttimer.com/L2v8k4G7W1t6N4f1u4b7w3L2q1U3R6h1D7g4y4g7R4U4J2Z3Q8B2f5p2f1j6G2K0r8M4Z1Z3s0E4P9a9L9Q3p7p4x9e7W2R1n6c3/pictures/square_medium.jpeg
5007,breatheconnectthrive,f,51,2022-12-11 22:25:45.729004,name found,Francisca Hernandez,,28 followers,English and Español,Joined in Jan 2022,"Francisca Hernandez is a Conscious Connected Breathwork facilitator, meditation guide, and tarot reader. She's here to guide you through meditation and breathwork to help you release emotional baggage, clear your energy, illuminate your path, and connect to your intuition, so you can feel clear-headed, well-rested, and emotionally resilient and thrive in life!​​...read more",https://users.insighttimer.com/gPOyIF5KfEMuWYty30ggtAYsYsT2/pictures/square_medium.jpeg
5008,freeyourselfthrough,f,51,2022-12-11 22:26:04.427280,name found,Free Yourself Through,"Wodonga, Australia",27 followers,English,Joined in Nov 2021,"Mother and daughter team Barbara and Vicky share the healing they’ve found through music and meditation. Separated for decades by closed adoption, it was difficult to repair the gap, but listening deeply, they found courage to stay open and honest. Inspired by the loving relationship they found, their dream is to heal the world of grief and regret.

What do you free yourself through?...read more",https://users.insighttimer.com/w9G3w5a0K2P5g3U8k0E2f0W7M2a0V8B0h3a2b2U4G5M9h4g3H4M7j7n8X7b3M2Q8W0d3K6y2g7B8q1m6W3g4B5r2e1K3P4J5f7a4/pictures/square_medium.jpeg
5009,farina_yoga,f,51,2022-12-11 22:26:15.230583,name found,Farina de la Fontaine,"Berlin, Germany",26 followers,Deutsch and English,Joined in Nov 2021,"Yoga ist für Farina ein Lebensweg und der Schlüssel zu einem glücklichen, gesunden und ausgeglichenen Leben. Als Yogalehrerin hat sie ihre Bestimmung gefunden und ermutigt Menschen dazu, in Verbindung mit sich selbst zu treten - für ein gesundes, glückliches und erfülltes Leben. Für Farina ist die Arbeit an uns selbst die Zukunft unserer Welt: ""Der Friede im Außen beginnt in unserem Inneren.""...read more",https://users.insighttimer.com/z1y1w5B6Q1J8z8r2A1D5D5p2A3n2X8c7d6f6L3L4D6e2p8W5w4n9R2a6w6G9A3V3R9X8h2z5K6Y1U4b3H1T3Y7C4y4r7S3j3E1K3/pictures/square_medium.jpeg
